Principio Attivo	Descrizione Gruppo Equivalenza	Denominazione e Confezione	Prezzo al pubblico �	Titolare AIC	"Codice 
AIC"	Codice Gruppo Equivalenza	X=in lista di trasparenza Aifa 15/12/2020	Solo in lista di Regione:	Metri cubi ossigeno 
Cefaclor	CEFACLORO 750MG 6 UNITA' USO ORALE	MACOVAN*6 cpr 750 mg rilascio modificato	9,16	S.F. GROUP Srl	33114048	21D	X		
Cefaclor	CEFACLORO 750MG 6 UNITA' USO ORALE	NECLORAL*6 cpr 750 mg rilascio modificato	9,16	NEW RESEARCH Srl	34514036	21D	X		
Cefaclor	CEFACLORO 750MG 6 UNITA' USO ORALE	SELVICLOR*6 cpr 750 mg rilascio modificato	9,16	LANOVA FARMACEUTICI Srl	34652014	21D	X		
Cefaclor	CEFACLORO 750MG 6 UNITA' USO ORALE	PANACEF*6 cpr 750 mg rilascio modificato	11,06	VALEAS IND.CHIM.FARMAC. SpA	24227098	21D	X		
Cefaclor	CEFACLORO 750MG 6 UNITA' USO ORALE	PERFORMER*6 cpr 750 mg rilascio modificato	11,06	PIAM FARMACEUTICI SpA	34504035	21D	X		
Cefalexina	CEFALEXINA 5% 100ML USO ORALE	KEFORAL*grat orale sosp 100 ml 5%	5,80	S.F. GROUP Srl	22085068	59A	X		
Cefalexina	CEFALEXINA 500MG 8 UNITA' USO ORALE	KEFORAL*8 cpr riv 500 mg	4,02	S.F. GROUP Srl	22085056	59D	X		
Cefalexina	CEFALEXINA 1.000MG 8 UNITA' USO ORALE	CEPOREX*8 cpr riv 1 g	7,07	TEOFARMA Srl	22086110	59E			
Cefalexina	CEFALEXINA 1.000MG 8 UNITA' USO ORALE	KEFORAL*8 cpr riv 1 g	7,07	S.F. GROUP Srl	22085082	59E			
Cefazolina	CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE	CEFAZOLINA GIT*1 fiala IM 1 g + 1 fiala solv 4 ml	1,89	S.F. GROUP Srl	33575010	20A	X		
Cefazolina	CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE	CEFAZOLINA*1 fiala IM 1 g + 1 fiala solv 4 ml	1,89	PHARMACARE Srl	24127019	20A	X		
Cefazolina	CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE	CEFAZOLINA*1 fiala IM 1 g + 1 fiala solv 4 ml	1,89	TEVA ITALIA Srl	23853031	20A	X		
Cefazolina	CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE	NEFAZOL*1 fiala IM 1 g + 1 fiala solv 4 ml	1,89	NEW RESEARCH Srl	33123011	20A	X		
Cefazolina	CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE	CEFAZOLINA*1 fiala IM 1 g + 1 fiala solv 4 ml	3,05	K24 PHARMACEUTICALS Srl	33444047	20A	X		
Cefazolina	CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE	CEFAZIL*1 fiala IM 1 g + 1 fiala solv 4 ml	3,88	ITALFARMACO SpA	23916051	20A	X		
Cefditoren	CEFDITOREN 200MG 20 UNITA' USO ORALE	GIASION*20 cpr riv 200 mg	35,75	ZAMBON ITALIA Srl	37146026	IUA			
Cefditoren	CEFDITOREN 200MG 20 UNITA' USO ORALE	REDEGUAN*20 cpr riv 200 mg	35,75	ZAMBON ITALIA Srl	37147028	IUA			
Cefditoren	CEFDITOREN 400MG 10 UNITA' USO ORALE	GIASION*10 cpr riv 400 mg	35,75	ZAMBON ITALIA Srl	37146040	IUB			
Cefepime	CEFEPIME 1.000MG 1 UNITA' USO PARENTERALE	CEPIM*1 fiala IM EV 1 g + 1 fiala solv 3 ml	8,54	POLIFARMA SpA	28896025	IVA			
Cefepime	CEFEPIME 1.000MG 1 UNITA' USO PARENTERALE	CEPIMEX*1 fiala IM EV 1 g + 1 fiala solv 3 ml	8,54	BRUNO FARMACEUTICI SpA	28900025	IVA			
Cefepime	CEFEPIME 1.000MG 1 UNITA' USO PARENTERALE	MAXIPIME*1 fiala IM EV 1 g + 1 fiala solv 3 ml	8,54	BRISTOL-MYERS SQUIBB Srl	28899021	IVA			
Cefepime	CEFEPIME 500MG 1 UNITA' USO PARENTERALE	MAXIPIME*1 fiala IM EV 500 mg + 1 fiala solv 1,5 ml	4,82	BRISTOL-MYERS SQUIBB Srl	28899019	IVB			
Cefixima	CEFIXIMA 2% 100ML USO ORALE	CEFIXIMA*polv orale sosp 100 ml 100 mg/5 ml	10,07	EG SpA	41391083	DUA	X		
Cefixima	CEFIXIMA 2% 100ML USO ORALE	CEFIXIMA*polv orale sosp 100 ml 100 mg/5 ml flacone vetro con siringa graduata	10,07	AUROBINDO PHARMA ITALIA Srl	47003025	DUA	X		
Cefixima	CEFIXIMA 2% 100ML USO ORALE	SUPRACEF*orale grat sosp 100 ml 100 mg/5 ml	10,07	IST.LUSOFARMACO D'ITALIA SpA	28855056	DUA	X		
Cefixima	CEFIXIMA 2% 100ML USO ORALE	SUPRAX*orale grat sosp 100 ml 100 mg/5 ml	12,83	ASTELLAS PHARMA SpA	27127101	DUA	X		
Cefixima	CEFIXIMA 2% 100ML USO ORALE	CEFIXORAL*orale grat sosp 100 ml 100 mg/5 ml	13,60	A.MENARINI IND.FARM.RIUN.Srl	27134105	DUA	X		
Cefixima	CEFIXIMA 2% 100ML USO ORALE	UNIXIME*orale grat sosp 100 ml 100 mg/5 ml + siringa	13,60	F.I.R.M.A. SpA	27152091	DUA	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	CEFIXIMA*5 cpr dispers 400 mg	9,66	EG SpA	42087015	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	CEFIXIMA*5 cpr riv 400 mg	9,66	AUROBINDO PHARMA ITALIA Srl	44331015	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	CEFIXIMA*5 cpr riv 400 mg	9,66	DOC GENERICI Srl	42117010	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	CEFIXIMA*5 cpr riv 400 mg	9,66	EG SpA	41391018	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	STADIUM*5 cpr riv 400 mg	9,66	S.F. GROUP Srl	39308010	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	CEFIXORAL*5 cpr dispers 400 mg	11,97	A.MENARINI IND.FARM.RIUN.Srl	27134081	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	CEFIXORAL*5 cpr riv 400 mg	11,97	A.MENARINI IND.FARM.RIUN.Srl	27134030	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	SUPRACEF*5 cpr dispers 400 mg	11,97	IST.LUSOFARMACO D'ITALIA SpA	28855068	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	SUPRAX*5 cpr dispers 400 mg	11,97	ASTELLAS PHARMA SpA	27127087	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	SUPRAX*5 cpr riv 400 mg	11,97	ASTELLAS PHARMA SpA	27127036	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	UNIXIME*5 cpr orodispers 400 mg	11,97	F.I.R.M.A. SpA	27152077	DUB	X		
Cefixima	CEFIXIMA 400MG 5 UNITA' USO ORALE	UNIXIME*5 cpr riv 400 mg	11,97	F.I.R.M.A. SpA	27152038	DUB	X		
Cefmetazolo	CEFMETAZOLO 1.000MG 4ML 1 UNITA' USO PARENTERALE	METAFAR*1 fiala IM 1 g + 1 fiala solv 4 ml	6,59	NEW RESEARCH Srl	27909062	IWA			
Cefodizima	CEFODIZIMA 1.000MG 1 UNITA' USO PARENTERALE	DIEZIME*1 fiala IM 1 g + 1 fiala solv 4 ml	9,30	RECORDATI SpA	27940030	IXA			
Cefodizima	CEFODIZIMA 1.000MG 1 UNITA' USO PARENTERALE	TIMECEF*1 fiala IM 1 g + 1 fiala solv 4 ml	9,30	SANOFI SpA	27939038	IXA			
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	BATIXIM*1 fiala IM 1 g + 1 fiala solv 4 ml	3,40	SO.SE.PHARM Srl	35207024	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIMA*1 fiala IM 1 g + 1 fiala solv 4 ml	3,40	EG SpA	35228028	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIMA*1 fiala IM 1 g + 1 fiala solv 4 ml	3,40	EG SpA	35441017	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIMA*1 fiala IM 1 g + 1 fiala solv 4 ml	3,40	TEVA ITALIA Srl	35374040	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIMA*1 fiala IM EV + 1 fiala solv 4 ml	3,40	TEVA ITALIA Srl	35374038	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIMA*1 flaconcino IM 1 g + 1 fiala solv 4 ml	3,40	ABC FARMACEUTICI SpA	35375029	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIME*1 fiala IM 1 g + 1 fiala solv 4 ml	3,40	MYLAN SpA	34994044	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIME*1 fiala IM EV 1 g + 1 fiala solv	3,40	MYLAN SpA	34994032	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	LIRGOSIN*1 fiala IM 1 g + 1 fiala solv 4 ml con lidocaina	3,40	FIDIA FARMACEUTICI SpA	35311012	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	SALOCEF*1 fiala IM 1 g + 1 fiala solv 4 ml con lidocaina	3,40	NEW RESEARCH Srl	35285042	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	SPECTROCEF*1 fiala IM 1 g + 1 fiala solv 4 ml	3,40	EPIFARMA Srl	35192020	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	ZIMANEL*1 fiala IM 1 g + 1 fiala solv 4 ml	3,40	PROGE FARM Srl	34426015	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	ZARIVIZ*1 fiala IM 1 g + 1 fiala solv 4 ml con lidocaina	4,85	SANOFI SpA	24259044	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	ZARIVIZ*1 fiala IM EV 1 g + 1 fiala solv 4 ml	4,85	SANOFI SpA	24259032	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIME*1 fiala IM 1 g + 1 fiala solv 4 ml	5,51	I.B.I.GIOVANNI LORENZINI SpA	35118013	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIME*1 fiala IM EV 1 g + 1 fiala solv 4 ml	5,51	I.B.I.GIOVANNI LORENZINI SpA	35118025	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFOTAXIME*1 flacone IM EV 1 g + 1 fiala solv 4 ml	5,78	PFIZER ITALIA Srl	34992038	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	TAXIME*1 fiala IM 1 g + 1 fiala solv 4 ml	5,79	PHARMATEX ITALIA Srl	35068030	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	TAXIME*1 fiala IM EV 1 g + 1 fiala solv 4 ml	5,79	PHARMATEX ITALIA Srl	35068028	ASA	X		
Cefotaxima	CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE	BATIXIM*1 fiala IM EV 1 g + 1 fiala 4 ml	5,80	SO.SE.PHARM Srl	35207036	ASA	X		
Cefotaxima	CEFOTAXIMA 500MG 1 UNITA' USO PARENTERALE	TAXIME*1 fiala IM EV 500 mg + 1 fiala solv 2 ml	3,54	PHARMATEX ITALIA Srl	35068016	ASC	X		
Cefoxitina	CEFOXITINA 1.000MG 2ML 1 UNITA' USO PARENTERALE	MEFOXIN*1 fiala IM 1 g + 1 fiala solv 2 ml	4,95	I.B.N. SAVIO Srl	24027017	IYA			
Cefpodoxima	CEFPODOXIMA 0,8% 100ML USO ORALE	CEFPODOXIMA*orale sosp grat 100 ml 40 mg/5 ml	8,39	MYLAN SpA	41859164	FFA	X		
Cefpodoxima	CEFPODOXIMA 0,8% 100ML USO ORALE	CEFPODOXIMA*orale sosp polv 100 ml 40 mg/5 ml	8,39	SANDOZ SpA	39962168	FFA	X		
Cefpodoxima	CEFPODOXIMA 0,8% 100ML USO ORALE	PROXEDOX*orale sosp grat 100 ml 40 mg/5 ml	8,39	SO.SE.PHARM Srl	40010035	FFA	X		
Cefpodoxima	CEFPODOXIMA 0,8% 100ML USO ORALE	CEFODOX*BB orale sosp grat 100 ml 40 mg/5 ml	9,39	SCHARPER SpA	28463038	FFA	X		
Cefpodoxima	CEFPODOXIMA 0,8% 100ML USO ORALE	ORELOX*BB orale sosp grat 100 ml 40 mg/5 ml	9,39	SANOFI SpA	27970033	FFA	X		
Cefpodoxima	CEFPODOXIMA 0,8% 100ML USO ORALE	OTREON*orale sosp grat 100 ml 40 mg/5 ml	9,39	DAIICHI SANKYO ITALIA SpA	27969031	FFA	X		
Cefpodoxima	CEFPODOXIMA 100MG 12 UNITA' USO ORALE	CEFPODOXIMA*12 cpr riv 100 mg	8,60	MYLAN SpA	41859190	FFB	X		
Cefpodoxima	CEFPODOXIMA 100MG 12 UNITA' USO ORALE	CEFPODOXIMA*12 cpr riv 100 mg	8,60	SANDOZ SpA	39962194	FFB	X		
Cefpodoxima	CEFPODOXIMA 100MG 12 UNITA' USO ORALE	PROXEDOX*12 cpr riv 100 mg	8,60	SO.SE.PHARM Srl	40010011	FFB	X		
Cefpodoxima	CEFPODOXIMA 100MG 12 UNITA' USO ORALE	CEFODOX*12 cpr riv 100 mg	9,60	SCHARPER SpA	28463014	FFB	X		
Cefpodoxima	CEFPODOXIMA 100MG 12 UNITA' USO ORALE	ORELOX*12 cpr riv 100 mg	9,60	SANOFI SpA	27970019	FFB	X		
Cefpodoxima	CEFPODOXIMA 100MG 12 UNITA' USO ORALE	OTREON*12 cpr riv 100 mg	9,60	DAIICHI SANKYO ITALIA SpA	27969017	FFB	X		
Cefpodoxima	CEFPODOXIMA 200MG 6 UNITA' USO ORALE	CEFPODOXIMA*6 cpr riv 200 mg	8,77	MYLAN SpA	41859087	FFC	X		
Cefpodoxima	CEFPODOXIMA 200MG 6 UNITA' USO ORALE	CEFPODOXIMA*6 cpr riv 200 mg	8,77	SANDOZ SpA	39962117	FFC	X		
Cefpodoxima	CEFPODOXIMA 200MG 6 UNITA' USO ORALE	PROXEDOX*6 cpr riv 200 mg	8,77	SO.SE.PHARM Srl	40010023	FFC	X		
Cefpodoxima	CEFPODOXIMA 200MG 6 UNITA' USO ORALE	CEFODOX*6 cpr riv 200 mg	9,77	SCHARPER SpA	28463040	FFC	X		
Cefpodoxima	CEFPODOXIMA 200MG 6 UNITA' USO ORALE	ORELOX*6 cpr riv 200 mg	9,77	SANOFI SpA	27970045	FFC	X		
Cefpodoxima	CEFPODOXIMA 200MG 6 UNITA' USO ORALE	OTREON*6 cpr riv 200 mg	9,77	DAIICHI SANKYO ITALIA SpA	27969043	FFC	X		
Cefprozil	CEFPROZIL 250MG/5ML USO ORALE	PROLIZIP*orale sosp 1 flacone 60 ml 250 mg/5 ml	8,88	FARTO Srl	39655028	IZA	X		
Cefprozil	CEFPROZIL 500MG 6 UNITA' USO ORALE	PROLIZIP*6 cpr riv 500 mg	8,65	FARTO Srl	39655016	IZB	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 fiala IM 1 g + 1 fiala solv 3 ml	4,63	SANDOZ SpA	36209017	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 fiala IM 1 g/3 ml + 1 fiala 3 ml	4,63	FG Srl	36566038	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 flaconcino IM 1 g + 1 fiala solv 3 ml	4,63	DOC GENERICI Srl	36571038	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 flaconcino IM 1 g + 1 fiala solv 3 ml	4,63	PENSA PHARMA SpA	36494021	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 flacone IM 1 g + 1 fiala solv 3 ml	4,63	MYLAN SpA	36604027	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 flacone IM 1 g + fiala solv 3 ml	4,63	ALMUS Srl	36579035	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 flacone IM 1 g 3 ml	4,63	ASTRO-PHARMA VERTRIEB GMBH	36459016	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	DELTAZIME*1 fiala IM 1 g + 1 fiala 3 ml	4,63	C.T. LAB.FARMACEUTICO Srl	36590038	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	DIZATEC*1 flaconcino IM 1 g + 1 fiala solv 3 ml	4,63	GENETIC SpA	36460020	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	ETAZIM*1 flacone IM 1 g + 1 fiala solv 3 ml	4,63	S.F. GROUP Srl	36490023	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	FRIBAT*1 fiala IM 1 g + 1 fiala solv 3 ml	4,63	EPIFARMA Srl	36568032	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	LIOTIXIL*1 fiala IM 1 g + 1 fiala solv 3 ml	4,63	ESSETI FARMACEUTICI Srl	36545010	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	MAZDIMA*1 flaconcino IM 1 g/3 ml + 1 flaconcino solv	4,63	MAGIS FARMACEUTICI Srl	36446021	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	STARCEF*1 flacone polv 1 g/3 ml + 1 fiala solv 3 ml	4,63	F.I.R.M.A. SpA	25859036	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	TAZIDIF*1 fiala IM 1 g + 1 fiala solv 3 ml	4,63	S.F. GROUP Srl	36495024	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	TOTTIZIM*1 fiala IM 1 g + 1 fiala solv 3 ml	4,63	SO.SE.PHARM Srl	36501029	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	GLAZIDIM 1*1 flaconcino IM 1 g + 1 fiala solv 3 ml	5,70	GLAXOSMITHKLINE SpA	25212034	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 fiala IM 1 g/3 ml + 1 fiala solv 3 ml	5,87	BIOPHARMA Srl	36012033	C7A	X		
Ceftazidima	CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE	CEFTAZIDIMA*1 flacone IM 1 g + fiala solv 3 ml	5,87	FRESENIUS KABI ITALIA Srl	36591030	C7A	X		
Ceftazidima	CEFTAZIDIMA 500MG 1 UNITA' USO PARENTERALE	STARCEF*1 flacone polv 500 mg + 1 fiala solv 1,5 ml	2,21	F.I.R.M.A. SpA	25859024	C7B	X		
Ceftazidima	CEFTAZIDIMA 500MG 1 UNITA' USO PARENTERALE	GLAZIDIM*1 flaconcino IM 500 mg + 1 fiala solv 1,5 ml	2,82	GLAXOSMITHKLINE SpA	25212022	C7B	X		
Ceftazidima	CEFTAZIDIMA 250MG 1 UNITA' USO PARENTERALE	GLAZIDIM*1 flaconcino IM 250 mg + 1 fiala solv 1 ml	3,55	GLAXOSMITHKLINE SpA	25212010	C7C			
Ceftibuten	CEFTIBUTEN 36MG/ML - USO ORALE	ISOCEF*grat orale sosp 36 mg/ml flacone	22,14	RECORDATI SpA	27850104	J0A			
Ceftibuten	CEFTIBUTEN 400MG 6 UNITA' USO ORALE	ISOCEF*6 cps 400 mg	22,97	RECORDATI SpA	27850142	J0B			
Ceftriaxone	CEFTRIAXONE 250MG 1 UNITA' USO PARENTERALE	ROCEFIN*1 flaconcino IM 250 mg + 1 fiala solv 2 ml	2,06	ROCHE SpA	25202019	C0A	X		
Ceftriaxone	CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 500 mg + 1 fiala solv 2 ml	3,61	DOC GENERICI Srl	35800010	C0B	X		
Ceftriaxone	CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 500 mg + 1 fiala solv 2 ml	3,61	MYLAN SpA	35878026	C0B	X		
Ceftriaxone	CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 500 mg + 1 fiala solv 2 ml	3,61	RATIOPHARM GMBH	35802026	C0B	X		
Ceftriaxone	CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE	FIDATO*1 fiala IM 500 mg + 1 fiala solv 2 ml	3,61	FIDIA FARMACEUTICI SpA	35867023	C0B	X		
Ceftriaxone	CEFTRIAXONE 500MG 1 UNITA' USO PARENTERALE	PANTOXON*1 fiala IM 500 mg + 1 fiala solv 2 ml	3,61	AESCULAPIUS FARMACEUTICI Srl	35952011	C0B	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	AXOBAT*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	S.F. GROUP Srl	35837032	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	BIXON*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	LANOVA FARMACEUTICI Srl	35958026	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFRAG*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	MAGIS FARMACEUTICI Srl	36101020	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTAGES*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	GESTIPHARM Srl	35921028	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE GIT*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	S.F. GROUP Srl	36516021	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	ACCORD HEALTHCARE SLU	39216027	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	ALMUS Srl	36065035	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	ARISTO PHARMA GMBH	36095014	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	AUROBINDO PHARMA ITALIA Srl	36138028	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	BIOPHARMA Srl	35814021	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	DOC GENERICI Srl	35800034	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	EG SpA	35869039	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	MYLAN SpA	35878038	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	PHARMACARE Srl	35881022	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	PIAM FARMACEUTICI SpA	36144018	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	RATIOPHARM GMBH	35802038	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	SANDOZ SpA	35902030	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flaconcino IM 1 g + 1 fiala solv 3,5 ml	4,96	SUN PHARMACEUTICAL IND.EU.B.V.	35905013	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	ABC FARMACEUTICI SpA	35924048	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	LABORATORI ALTER Srl	36021032	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	PHARMACARE Srl	37334051	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	SANDOZ SpA	35868037	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	ZENTIVA ITALIA Srl	35887037	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flacone polv IM 1 g + 1 fiala solv 3,5 ml	4,96	PENSA PHARMA SpA	35964030	C0C	X		
